open;high;low;close;volume;marketCap;timestamp
29.1098995209;29.1662998199;4.9585599899;7.9481501579;34807.7;0;"2016-04-29T00:00:00.000Z"
7.9582800865;9.0299901962;5.9337601662;7.4112901688;9314.27;0;"2016-04-30T00:00:00.000Z"
7.4067997932;7.4067997932;5.6047301292;7.1597800255;55216.7;0;"2016-05-01T00:00:00.000Z"
7.1191802025;7.1202697754;6.2100601196;6.6736998558;50987.5;0;"2016-05-02T00:00:00.000Z"
6.6746001244;9.5908699036;4.1042399406;6.4195599556;44238.6;0;"2016-05-03T00:00:00.000Z"
6.4146099091;8.3552303314;4.5678501129;8.0714702606;64670.5;13721499;"2016-05-04T00:00:00.000Z"
8.0712604523;10.2568998337;7.1472401619;10.2522001266;217227;20504400;"2016-05-05T00:00:00.000Z"
10.2172002792;17.0597000122;10.0535001755;14.910200119;1006370;29820400;"2016-05-06T00:00:00.000Z"
14.9116001129;14.9460000992;12.2087001801;12.7589998245;64056.7;25518000;"2016-05-07T00:00:00.000Z"
12.7568998337;14.1454000473;11.8256998062;11.9158000946;112971;23831600;"2016-05-08T00:00:00.000Z"
11.9114999771;13.9267997742;11.8498001099;11.9380998611;113916;23876200;"2016-05-09T00:00:00.000Z"
11.9387998581;13.9899997711;10.3884000778;13.0725002289;326426;26145000;"2016-05-10T00:00:00.000Z"
13.0719003677;15.4439001083;11.690199852;13.3541002274;367524;26708200;"2016-05-11T00:00:00.000Z"
13.3470001221;14.1683998108;12.6433000565;12.7475004196;149822;25495000;"2016-05-12T00:00:00.000Z"
12.7496995926;13.9786996841;12.0741996765;12.7705001831;156697;25541000;"2016-05-13T00:00:00.000Z"
12.7990999222;12.8062000275;10.9149999619;12.1350002289;49058.8;24270000;"2016-05-14T00:00:00.000Z"
12.1352996826;12.1353998184;8.3981599808;10.1929998398;85434.2;20386000;"2016-05-15T00:00:00.000Z"
10.1939001083;10.706199646;9.4955501556;10.0335998535;16442.9;20067200;"2016-05-16T00:00:00.000Z"
10.0328998566;10.2222995758;9.6650800705;10.0761995316;14208.2;20152400;"2016-05-17T00:00:00.000Z"
10.0754003525;10.7465000153;9.8076400757;10.2035999298;32865.5;20407200;"2016-05-18T00:00:00.000Z"
10.2040996552;10.7135000229;8.4984397888;9.0858898163;49102.9;18171780;"2016-05-19T00:00:00.000Z"
9.0814399719;9.8461799622;8.7527399063;9.5198202133;28807.9;19039640;"2016-05-20T00:00:00.000Z"
9.5240602493;9.6298904419;8.2302999496;9.0643997192;49878.7;18128800;"2016-05-21T00:00:00.000Z"
8.9956102371;9.6712999344;8.4346904755;9.2627496719;22891.6;18525500;"2016-05-22T00:00:00.000Z"
9.2622404099;9.4789800644;8.2785701752;8.9434900284;54060.2;17886980;"2016-05-23T00:00:00.000Z"
8.9437503815;9.0942697525;8.48595047;8.7363195419;18582.5;17472640;"2016-05-24T00:00:00.000Z"
8.7360801697;8.9352703094;8.2813997269;8.3869104385;14636;16773820;"2016-05-25T00:00:00.000Z"
8.3880901337;9.3914899826;8.2795000076;9.2100296021;38978.8;18420060;"2016-05-26T00:00:00.000Z"
9.2098302841;9.4404401779;8.6787004471;8.6828699112;22859.1;17365740;"2016-05-27T00:00:00.000Z"
8.6813898087;9.4022598267;8.322259903;8.6452102661;21512.7;17290420;"2016-05-28T00:00:00.000Z"
9.2630996704;9.5777997971;8.284239769;8.4128503799;9208.2;16825700;"2016-05-29T00:00:00.000Z"
8.4249000549;8.6794500351;7.6248698235;8.513999939;26600.4;17028000;"2016-05-30T00:00:00.000Z"
8.5085096359;8.7251596451;8.012049675;8.3641700745;15195.9;16728340;"2016-05-31T00:00:00.000Z"
8.3626403809;9.0023097992;7.5351800919;8.8306102753;36253.5;17661220;"2016-06-01T00:00:00.000Z"
8.826259613;9.2684803009;7.9160199165;9.0473899841;68270.3;18094780;"2016-06-02T00:00:00.000Z"
9.0435600281;10.3528003693;8.5310897827;10.2665996552;104249;20533200;"2016-06-03T00:00:00.000Z"
10.2732000351;10.2770996094;9.3005695343;9.949259758;91393.1;19898520;"2016-06-04T00:00:00.000Z"
9.655380249;10.4458999634;9.4380598068;9.9310903549;60890.2;19862180;"2016-06-05T00:00:00.000Z"
10.0922002792;10.2576999664;9.2905302048;9.309220314;29876.8;18618440;"2016-06-06T00:00:00.000Z"
9.3094902039;9.9824895859;9.2884397507;9.6189002991;23477.7;19237800;"2016-06-07T00:00:00.000Z"
9.6222295761;9.7787504196;8.7401304245;8.9194202423;58958.4;17838840;"2016-06-08T00:00:00.000Z"
8.9229001999;10.4433002472;8.9178495407;10.4172000885;65405.7;20834400;"2016-06-09T00:00:00.000Z"
10.4284000397;12.174200058;9.7020902634;10.8437004089;147608;21687400;"2016-06-10T00:00:00.000Z"
11.3392000198;11.3392000198;10.3367996216;10.4762001038;67720.8;20952400;"2016-06-11T00:00:00.000Z"
10.4885997772;11.6399002075;10.4765996933;11.1569004059;71030;22313800;"2016-06-12T00:00:00.000Z"
11.1534996033;15.2868995667;11.1534996033;14.5033998489;255020;29006800;"2016-06-13T00:00:00.000Z"
14.5033998489;14.6297998428;12.9214000702;13.3540000916;158875;26708000;"2016-06-14T00:00:00.000Z"
13.3559999466;13.6926002502;12.7735004425;12.9646997452;70284.6;25929400;"2016-06-15T00:00:00.000Z"
12.9708995819;15.8346004486;12.9708995819;15.7749996185;488222;31550000;"2016-06-16T00:00:00.000Z"
15.9146003723;16.0552997589;11.8358001709;13.6308002472;513470;27261600;"2016-06-17T00:00:00.000Z"
13.6344003677;14.4500999451;12.3739004135;12.507399559;189317;25014800;"2016-06-18T00:00:00.000Z"
12.5060997009;13.0157003403;10.5788002014;11.8842000961;172812;23768400;"2016-06-19T00:00:00.000Z"
11.8496999741;12.1738004684;10.5536003113;10.9371004105;108926;21874200;"2016-06-20T00:00:00.000Z"
10.9252004623;11.0406999588;9.8803501129;10.9545001984;108127;21909000;"2016-06-21T00:00:00.000Z"
10.9521999359;12.1645002365;10.6690998077;10.714099884;137564;21428200;"2016-06-22T00:00:00.000Z"
10.7374000549;11.4386997223;10.0727996826;10.638299942;64374;21276600;"2016-06-23T00:00:00.000Z"
10.9458999634;12.3635997772;10.457400322;11.5250997543;109780;23050200;"2016-06-24T00:00:00.000Z"
11.5439996719;12.1642999649;11.4041996002;11.8389997482;38809.5;23678000;"2016-06-25T00:00:00.000Z"
11.6160001755;11.8562002182;10.6649999619;11.3395004272;45262.1;22679000;"2016-06-26T00:00:00.000Z"
11.3520002365;11.5121002197;11.0004997253;11.3633003235;18843;22726600;"2016-06-27T00:00:00.000Z"
11.3886995316;11.6698999405;10.1782999039;10.2363004684;35914.8;20472600;"2016-06-28T00:00:00.000Z"
10.2967996597;11.0116996765;9.9575796127;10.8627996445;32423.9;21725600;"2016-06-29T00:00:00.000Z"
10.8635997772;10.9323997498;10.1583995819;10.344499588;34779.1;20689000;"2016-06-30T00:00:00.000Z"
10.3312997818;10.8860998154;9.8631696701;10.4271001816;30204.6;20854200;"2016-07-01T00:00:00.000Z"
10.4315004349;10.5395002365;9.6913404465;10.1842002869;40552.6;20368400;"2016-07-02T00:00:00.000Z"
10.1979999542;10.2552995682;9.7568597794;10.0579996109;39056.6;20116000;"2016-07-03T00:00:00.000Z"
10.0608997345;10.1290998459;9.5439300537;9.6415300369;26422.9;19283060;"2016-07-04T00:00:00.000Z"
9.6399002075;9.7876796722;9.1083402634;9.4263896942;52647.9;18852780;"2016-07-05T00:00:00.000Z"
9.4131002426;9.8746204376;9.1477003098;9.2215099335;14866.3;18443020;"2016-07-06T00:00:00.000Z"
9.2247600555;9.4723997116;8.8205499649;9.3992004395;33676.4;18798400;"2016-07-07T00:00:00.000Z"
9.4002599716;9.463760376;9.1505699158;9.4633798599;11030.9;18926760;"2016-07-08T00:00:00.000Z"
9.4635896683;9.6091499329;9.0059404373;9.053030014;9977.62;18106060;"2016-07-09T00:00:00.000Z"
9.051199913;9.3946304321;8.9302301407;9.161939621;9359.04;18323880;"2016-07-10T00:00:00.000Z"
9.1601600647;9.4006700516;8.8486204147;8.8533802032;34945.3;17706760;"2016-07-11T00:00:00.000Z"
8.8559799194;9.4137201309;8.8307504654;8.896490097;40414.9;17792980;"2016-07-12T00:00:00.000Z"
8.8958702087;9.3603000641;8.8158102036;8.8158102036;22207.9;17631620;"2016-07-13T00:00:00.000Z"
8.8158798218;10.0889997482;8.815199852;10.0885000229;29642.2;20177000;"2016-07-14T00:00:00.000Z"
10.098400116;10.8203001022;9.7784004211;10.326499939;53039;20653000;"2016-07-15T00:00:00.000Z"
10.3254995346;10.3908996582;10.1349000931;10.3106002808;6588.29;20621200;"2016-07-16T00:00:00.000Z"
10.3035001755;10.5389003754;9.6391201019;9.818189621;17213.7;19636380;"2016-07-17T00:00:00.000Z"
9.8224000931;9.902179718;9.5192403793;9.625169754;6276.13;19250340;"2016-07-18T00:00:00.000Z"
9.6245203018;10.190199852;9.4553899765;10.1201000214;14956.1;20240200;"2016-07-19T00:00:00.000Z"
10.1198997498;10.1326999664;9.7738704681;9.9239196777;9293.13;19847840;"2016-07-20T00:00:00.000Z"
9.9241199493;10.0631999969;9.7413101196;9.771780014;16196.6;19543560;"2016-07-21T00:00:00.000Z"
9.7704696655;10.9142999649;9.7693901062;10.4184999466;53122.8;20837000;"2016-07-22T00:00:00.000Z"
10.4194002151;10.79529953;10.2835998535;10.3961000443;25436.3;20792200;"2016-07-23T00:00:00.000Z"
10.3944997787;10.9286003113;9.4660701752;9.525270462;36966.4;19050540;"2016-07-24T00:00:00.000Z"
9.5222196579;10.1807003021;9.5132703781;9.9990701675;22910.2;19998140;"2016-07-25T00:00:00.000Z"
10.0005998611;10.4914999008;9.4677295685;9.7988395691;39310.3;19597680;"2016-07-26T00:00:00.000Z"
9.7965602875;9.8680801392;9.6209402084;9.7773704529;32216.4;19554740;"2016-07-27T00:00:00.000Z"
9.7772397995;10.3767995834;9.7733697891;10.0727996826;72824.2;20145600;"2016-07-28T00:00:00.000Z"
10.1245002747;10.5830001831;9.9839401245;10.3535003662;20085.5;20707000;"2016-07-29T00:00:00.000Z"
10.3145999908;10.817700386;10.1283998489;10.3292999268;55357.9;20658600;"2016-07-30T00:00:00.000Z"
10.3299999237;10.5802001953;10.204199791;10.2229003906;25698.7;20445800;"2016-07-31T00:00:00.000Z"
10.2206001282;10.4309997559;9.6113796234;10.1122999191;52527.3;20224600;"2016-08-01T00:00:00.000Z"
10.1153001785;10.3345003128;8.2162399292;9.1251296997;99811.5;18250260;"2016-08-02T00:00:00.000Z"
8.9273796082;9.3226499557;7.9263901711;9.117099762;93677.8;18234200;"2016-08-03T00:00:00.000Z"
9.1159896851;10.3605003357;8.9510297775;10.3239002228;116909;20647800;"2016-08-04T00:00:00.000Z"
10.4111995697;12.2249002457;10.2641000748;10.9317998886;120977;21863600;"2016-08-05T00:00:00.000Z"
10.9490003586;11.2281999588;10.5394001007;10.8280000687;36381.9;21656000;"2016-08-06T00:00:00.000Z"
10.8283996582;11.3647003174;10.6288995743;10.9658002853;31860;21931600;"2016-08-07T00:00:00.000Z"
10.9575996399;11.2479000092;10.6274003983;10.9336996078;22354.9;21867400;"2016-08-08T00:00:00.000Z"
10.9338998795;11.0841999054;9.911359787;10.4502000809;167792;20900400;"2016-08-09T00:00:00.000Z"
10.4472999573;11.0381002426;10.3027000427;10.3213996887;22254.6;20642800;"2016-08-10T00:00:00.000Z"
10.3235998154;10.8261995316;10.1194000244;10.3194999695;34884;20639000;"2016-08-11T00:00:00.000Z"
10.317700386;10.5212001801;10.0282001495;10.5204000473;11405.3;21040800;"2016-08-12T00:00:00.000Z"
10.5194997787;11.2587995529;10.4744997025;10.6059999466;41246.7;21212000;"2016-08-13T00:00:00.000Z"
10.607000351;10.647600174;9.7291402817;9.9699001312;24195.4;19939800;"2016-08-14T00:00:00.000Z"
9.9693698883;10.2543001175;9.6587495804;9.8697900772;17562.4;19739580;"2016-08-15T00:00:00.000Z"
9.8709802628;10.1752996445;9.5173597336;9.9852199554;19042.1;19970440;"2016-08-16T00:00:00.000Z"
9.985159874;10.0616998672;9.5983200073;9.8362197876;17534.4;19672440;"2016-08-17T00:00:00.000Z"
9.8344802856;10.0032997131;9.2134799957;9.7152099609;25023.4;19430420;"2016-08-18T00:00:00.000Z"
9.716799736;9.7667598724;9.5396795273;9.5892400742;4974.98;19178480;"2016-08-19T00:00:00.000Z"
9.6777095795;10.4121999741;9.5162200928;10.3712997437;18276.4;20742600;"2016-08-20T00:00:00.000Z"
10.3694000244;10.519900322;9.9481801987;10.0045003891;6176.97;20009000;"2016-08-21T00:00:00.000Z"
10.0057001114;10.0756998062;9.8227996826;10.07310009;8870.17;20146200;"2016-08-22T00:00:00.000Z"
10.07310009;10.3500003815;9.7508897781;10.2601995468;7396.19;20520400;"2016-08-23T00:00:00.000Z"
