open;high;low;close;volume;marketCap;timestamp
21.9211006165;21.9211006165;18.902299881;19.4500007629;206957;38900000;"2017-04-22T00:00:00.000Z"
19.6798000336;20.6730995178;19.4083003998;19.8087005615;48530.7;39617400;"2017-04-23T00:00:00.000Z"
20.0254993439;21.9340991974;19.5918998718;20.5813999176;161366;41162800;"2017-04-24T00:00:00.000Z"
20.5613002777;25.9972000122;20.3687992096;24.4878005981;866068;48975600;"2017-04-25T00:00:00.000Z"
24.2187995911;27.5674991608;23.3754005432;26.1233005524;625673;52246600;"2017-04-26T00:00:00.000Z"
26.1245994568;27.2063007355;25.3701000214;25.8075008392;285314;51615000;"2017-04-27T00:00:00.000Z"
25.8071994781;27.4354991913;25.8050003052;26.4008998871;166738;52801800;"2017-04-28T00:00:00.000Z"
26.4202003479;28.6571998596;26.3124008179;28.6571998596;366958;57314400;"2017-04-29T00:00:00.000Z"
28.654800415;30.2059993744;28.0517997742;28.4906997681;379114;56981400;"2017-04-30T00:00:00.000Z"
28.4461994171;31.264799118;25.3792991638;29.1051998138;318979;58210400;"2017-05-01T00:00:00.000Z"
29.0858001709;31.1944999695;28.0618991852;29.9524002075;196715;59904800;"2017-05-02T00:00:00.000Z"
29.9701004028;31.3222007751;29.5107002258;30.9563999176;136375;61912800;"2017-05-03T00:00:00.000Z"
30.9613990784;34.9347991943;30.3129997253;34.4160995483;418605;68832200;"2017-05-04T00:00:00.000Z"
34.6567993164;39.2500991821;34.4079017639;37.0213012695;749674;74042600;"2017-05-05T00:00:00.000Z"
37.0219993591;37.1530990601;34.3521003723;35.4248008728;179568;70849600;"2017-05-06T00:00:00.000Z"
35.3692016602;39.1800003052;34.7750015259;36.0601005554;298441;72120200;"2017-05-07T00:00:00.000Z"
37.3073005676;47.9309997559;35.8591995239;44.1371002197;1829040;88274200;"2017-05-08T00:00:00.000Z"
44.1324996948;46.4300003052;39.367099762;41.7299995422;770764;83460000;"2017-05-09T00:00:00.000Z"
42.4990005493;42.5630989075;39.9151000977;40.7677001953;263797;81535400;"2017-05-10T00:00:00.000Z"
40.7963981628;43.1964988708;39.263999939;43.0238990784;196620;86047800;"2017-05-11T00:00:00.000Z"
43.0334014893;45.6377983093;40.9743995667;45.6377983093;381872;91275600;"2017-05-12T00:00:00.000Z"
