,score,#nodes,xmin,alpha,window_start,window_end
0,175.75370825076578,2147,3.0,5.177485713551192,2017-05-17,2017-05-19
1,604.4628784879776,1693,2.0,8.10635283399349,2017-05-18,2017-05-20
2,360.63019575276485,1145,2.0,7.144668385137439,2017-05-19,2017-05-21
3,309.9087368436559,992,2.0,7.003154480843145,2017-05-20,2017-05-22
4,280.74033767380456,874,2.0,7.3070241605653985,2017-05-21,2017-05-23
5,395.70706889235805,1119,2.0,8.262653940190273,2017-05-22,2017-05-24
6,370.48015466632006,1148,2.0,7.788051782624028,2017-05-23,2017-05-25
7,378.41448597426177,1149,2.0,7.464071278282354,2017-05-24,2017-05-26
8,228.8281479227651,827,2.0,6.114665615828734,2017-05-25,2017-05-27
9,193.53354713635312,691,2.0,5.761372063184463,2017-05-26,2017-05-28
10,153.76884727005543,604,2.0,5.192028262222826,2017-05-27,2017-05-29
11,282.07513076445326,707,2.0,7.24555478528223,2017-05-28,2017-05-30
12,352.1897197880766,810,2.0,8.400250604239055,2017-05-29,2017-05-31
13,313.60479346827475,817,2.0,8.040880744364408,2017-05-30,2017-06-01
14,228.0840858566724,701,2.0,6.766791102920079,2017-05-31,2017-06-02
15,177.5717857001809,641,2.0,5.691160154759909,2017-06-01,2017-06-03
16,266.53362810373875,704,2.0,6.416783499315735,2017-06-02,2017-06-04
17,295.82380476969877,734,2.0,6.812931842430391,2017-06-03,2017-06-05
18,372.31010193169897,784,2.0,7.470645032395695,2017-06-04,2017-06-06
19,406.9222340923795,815,2.0,7.028849055896648,2017-06-05,2017-06-07
20,417.9423440012993,992,2.0,6.182421413162521,2017-06-06,2017-06-08
21,638.1809283360471,1016,2.0,8.464139800991294,2017-06-07,2017-06-09
22,565.8426775459495,1026,2.0,8.591638197827391,2017-06-08,2017-06-10
23,413.7109521448819,1080,2.0,7.619131007059505,2017-06-09,2017-06-11
24,569.0063531770578,1047,2.0,9.83871815413626,2017-06-10,2017-06-12
25,524.3667282473788,1017,2.0,9.229558823583371,2017-06-11,2017-06-13
26,461.14437279095785,937,2.0,9.121723461817488,2017-06-12,2017-06-14
27,356.46157551670683,792,2.0,8.897398077129667,2017-06-13,2017-06-15
28,314.0242920985886,765,2.0,8.0608430098047,2017-06-14,2017-06-16
29,228.16099074020767,714,2.0,5.669758576850859,2017-06-15,2017-06-17
30,171.67361938766578,678,2.0,4.604118735270707,2017-06-16,2017-06-18
31,1143.103737998548,671,1.0,9.738136459664167,2017-06-17,2017-06-19
32,223.457316094727,595,2.0,6.3003616136788345,2017-06-18,2017-06-20
33,144.15917748540676,577,2.0,5.910848929876516,2017-06-19,2017-06-21
34,176.7564250263659,595,2.0,6.192744116048636,2017-06-20,2017-06-22
35,195.90865608425221,620,2.0,6.710061133913287,2017-06-21,2017-06-23
36,186.49893120157205,668,2.0,5.537942869108469,2017-06-22,2017-06-24
37,211.47181150460054,599,2.0,6.120196229919367,2017-06-23,2017-06-25
38,203.98453093488217,608,2.0,5.8362546655693714,2017-06-24,2017-06-26
39,214.87185476020338,582,2.0,6.57123623952669,2017-06-25,2017-06-27
40,201.35245569370562,620,2.0,5.978648991552546,2017-06-26,2017-06-28
41,201.37401526468807,567,2.0,6.188643774120299,2017-06-27,2017-06-29
42,189.42312732558747,591,2.0,6.170061294950025,2017-06-28,2017-06-30
43,160.68475407207524,528,2.0,5.639617975577152,2017-06-29,2017-07-01
44,149.89572801069917,493,2.0,5.452477390964691,2017-06-30,2017-07-02
45,130.74849166293842,434,2.0,5.040415793081559,2017-07-01,2017-07-03
46,95.65488254382633,419,2.0,4.5566032803752705,2017-07-02,2017-07-04
47,71.3149342189433,383,2.0,4.217589606519379,2017-07-03,2017-07-05
48,93.938298091895,396,2.0,4.808370168339463,2017-07-04,2017-07-06
49,132.77530097712747,527,2.0,4.379727845053246,2017-07-05,2017-07-07
50,155.35485063023938,617,2.0,4.514410759869838,2017-07-06,2017-07-08
51,179.4512862885818,694,2.0,4.55597315513943,2017-07-07,2017-07-09
52,236.6580883294729,748,2.0,5.776694637550356,2017-07-08,2017-07-10
53,443.8838541840222,1089,2.0,7.583787655716136,2017-07-09,2017-07-11
54,572.1978647584824,1303,2.0,8.263089233909707,2017-07-10,2017-07-12
55,645.1789754048667,1354,2.0,8.89982113740302,2017-07-11,2017-07-13
56,633.910274178781,1149,2.0,9.900701632107422,2017-07-12,2017-07-14
57,550.4912151631448,969,2.0,9.691715406431452,2017-07-13,2017-07-15
58,547.3070190490419,881,2.0,11.230338691097694,2017-07-14,2017-07-16
59,456.8769652110391,821,2.0,9.865761537877065,2017-07-15,2017-07-17
60,502.60617921841776,913,2.0,9.344108140889018,2017-07-16,2017-07-18
61,570.019021809168,1003,2.0,9.410746932386806,2017-07-17,2017-07-19
62,669.391185144759,1075,2.0,10.286810520337513,2017-07-18,2017-07-20
63,646.25288779985,1039,2.0,9.716044348835016,2017-07-19,2017-07-21
64,686.6738010005497,1007,2.0,10.421359084990192,2017-07-20,2017-07-22
65,635.563090151396,959,2.0,10.316869517886483,2017-07-21,2017-07-23
66,647.0337129859269,964,2.0,11.329584544373494,2017-07-22,2017-07-24
67,647.1805861477726,955,2.0,12.175000827922227,2017-07-23,2017-07-25
68,592.7853720499504,974,2.0,11.364913337178104,2017-07-24,2017-07-26
69,614.5103705354669,963,2.0,11.890160100583753,2017-07-25,2017-07-27
70,642.3668378065842,988,2.0,12.149704348668608,2017-07-26,2017-07-28
71,652.843731476105,969,2.0,12.7845736098127,2017-07-27,2017-07-29
72,580.109813928037,898,2.0,12.4672643224155,2017-07-28,2017-07-30
73,532.2636148333935,829,2.0,12.94736400990249,2017-07-29,2017-07-31
74,332.10505600248945,643,2.0,10.081148607267611,2017-07-30,2017-08-01
75,283.76949325901376,601,2.0,9.142284819741448,2017-07-31,2017-08-02
76,371.3708251321601,722,2.0,9.456029903320573,2017-08-01,2017-08-03
77,638.8646555741662,1010,2.0,11.556775632517152,2017-08-02,2017-08-04
78,940.0881631355433,1255,2.0,12.306203521036341,2017-08-03,2017-08-05
79,948.1463046084248,1218,2.0,13.522962111444535,2017-08-04,2017-08-06
80,1030.6566903566845,1275,2.0,14.590046716679003,2017-08-05,2017-08-07
81,1045.9830656525403,1275,2.0,15.481471002109018,2017-08-06,2017-08-08
82,1171.485407032632,1349,2.0,16.04089087823059,2017-08-07,2017-08-09
83,1264.2371152665762,1549,2.0,14.011603331278096,2017-08-08,2017-08-10
84,1379.5036541610834,1728,2.0,13.503382226591082,2017-08-09,2017-08-11
85,1477.1493809722024,1816,2.0,13.681634376239153,2017-08-10,2017-08-12
86,1630.7756138320137,1744,2.0,15.899363392600215,2017-08-11,2017-08-13
87,1426.2392120709285,1562,2.0,16.816574805480712,2017-08-12,2017-08-14
88,1302.8715241264897,1426,2.0,17.70022708262901,2017-08-13,2017-08-15
89,978.3318824326855,1205,2.0,16.75247595997494,2017-08-14,2017-08-16
90,868.4758733910697,1097,2.0,16.330028785945906,2017-08-15,2017-08-17
91,784.7093687984586,1031,2.0,15.077488040323608,2017-08-16,2017-08-18
92,872.3208323530705,1082,2.0,16.05078361028139,2017-08-17,2017-08-19
93,771.8366367343627,1077,2.0,14.377552851874542,2017-08-18,2017-08-20
94,860.1812455229291,1143,2.0,13.401641074178041,2017-08-19,2017-08-21
95,786.9603002894067,1069,2.0,13.586629190738224,2017-08-20,2017-08-22
96,822.3183008900663,1064,2.0,14.541143842138787,2017-08-21,2017-08-23
97,703.2352141092232,1016,2.0,13.280146189598543,2017-08-22,2017-08-24
98,784.3364816206026,1070,2.0,15.147313318332372,2017-08-23,2017-08-25
99,747.0679044001598,1082,2.0,12.864076868012354,2017-08-24,2017-08-26
100,849.9034136375822,1084,2.0,13.742609600224169,2017-08-25,2017-08-27
101,951.0691252162084,1159,2.0,13.146583399093775,2017-08-26,2017-08-28
102,1033.0660222900287,1255,2.0,13.432538468740821,2017-08-27,2017-08-29
103,1102.7417281857408,1323,2.0,14.275794590824466,2017-08-28,2017-08-30
104,1115.043660039502,1391,2.0,14.577078714229943,2017-08-29,2017-08-31
105,1222.5738609326575,1478,2.0,14.814080480665332,2017-08-30,2017-09-01
106,930.6033806205883,1403,2.0,12.040507090799903,2017-08-31,2017-09-02
107,564.162391730363,1213,2.0,9.12652351384485,2017-09-01,2017-09-03
108,264.2283523524843,1069,2.0,5.897149865035145,2017-09-02,2017-09-04
109,749.2001369998793,1162,2.0,11.6658291213337,2017-09-03,2017-09-05
110,644.4783696399995,1270,2.0,9.713484115900005,2017-09-04,2017-09-06
111,454.47588099697316,1312,2.0,7.561830849581752,2017-09-05,2017-09-07
112,748.6285537521456,1061,2.0,11.462248357544826,2017-09-06,2017-09-08
113,729.0131992934242,1096,2.0,11.645714346960093,2017-09-07,2017-09-09
114,595.55224225032,1036,2.0,10.322932203814382,2017-09-08,2017-09-10
115,486.55786492449545,825,2.0,10.29447065981056,2017-09-09,2017-09-11
116,480.6266330964342,802,2.0,9.916171913364057,2017-09-10,2017-09-12
117,465.9189532600101,781,2.0,10.095268964511744,2017-09-11,2017-09-13
118,553.0703474577294,769,2.0,12.360628247640845,2017-09-12,2017-09-14
119,562.8521998102824,750,2.0,13.471883322950905,2017-09-13,2017-09-15
120,492.8906727382134,696,2.0,12.646122696145358,2017-09-14,2017-09-16
121,397.3309225148884,630,2.0,10.842217040982975,2017-09-15,2017-09-17
122,372.50751087613537,621,2.0,10.826157763470272,2017-09-16,2017-09-18
