,score,#nodes,xmin,alpha,window_start,window_end
0,8.143041574003387,26,1.0,19.755035531556526,2017-09-10,2017-09-16
1,8.469675833981649,25,1.0,37.06737602222409,2017-09-11,2017-09-17
2,17.999011769104953,51,1.0,74.57744708533714,2017-09-12,2017-09-18
3,25.08239324196675,76,1.0,28.411205776890306,2017-09-13,2017-09-19
4,29.88693987013181,91,1.0,27.257049744179135,2017-09-14,2017-09-20
5,39.4819980069475,103,1.0,23.566201279853832,2017-09-15,2017-09-21
6,60.0084506042888,151,1.0,34.082489254931346,2017-09-16,2017-09-22
7,78.11254152876447,211,1.0,29.758595375924273,2017-09-17,2017-09-23
8,93.01147415669679,255,1.0,30.232286977859854,2017-09-18,2017-09-24
9,107.1860112386611,294,1.0,32.22219454038532,2017-09-19,2017-09-25
10,102.4488931702067,306,1.0,32.53319160800163,2017-09-20,2017-09-26
11,111.81325000496084,309,1.0,31.56523234891056,2017-09-21,2017-09-27
12,110.23496164750405,305,1.0,31.16956591073696,2017-09-22,2017-09-28
13,96.20315118923047,263,1.0,31.149378334028007,2017-09-23,2017-09-29
14,80.04355073405202,212,1.0,32.909498722133605,2017-09-24,2017-09-30
15,68.62498025695734,176,1.0,34.47601615331864,2017-09-25,2017-10-01
16,54.64220548075982,120,1.0,49.29155252582136,2017-09-26,2017-10-02
17,31.92650275120819,89,1.0,129.39985863911775,2017-09-27,2017-10-03
18,0.0,64,,,2017-09-28,2017-10-04
19,0.0,52,,,2017-09-29,2017-10-05
20,0.0,50,,,2017-09-30,2017-10-06
21,0.0,46,,,2017-10-01,2017-10-07
22,0.0,44,,,2017-10-02,2017-10-08
23,15.066908404451615,43,1.0,63.03588675822543,2017-10-03,2017-10-09
24,17.999011769104953,51,1.0,74.57744708533714,2017-10-04,2017-10-10
25,25.409027501944937,75,1.0,37.06737602222409,2017-10-05,2017-10-11
26,84.06222048119095,1884,4.0,3.587539155178694,2017-10-06,2017-10-12
27,147.22097631652247,2970,4.0,4.061671810484573,2017-10-07,2017-10-13
28,169.54599866658833,3536,4.0,3.8365642333750487,2017-10-08,2017-10-14
29,184.86266309922866,3769,4.0,3.9159540278056206,2017-10-09,2017-10-15
30,203.38224182331672,3960,4.0,4.016986706927415,2017-10-10,2017-10-16
31,210.96101032544848,4188,4.0,3.908049059753519,2017-10-11,2017-10-17
32,214.83446440593153,4456,4.0,3.7867364978769253,2017-10-12,2017-10-18
33,203.735572535492,3287,3.0,3.776419861723075,2017-10-13,2017-10-19
34,148.45334990410726,2451,3.0,3.495147835054198,2017-10-14,2017-10-20
35,134.26948665168206,2006,3.0,3.693194073824866,2017-10-15,2017-10-21
36,149.40112368822506,1847,3.0,3.996763554576694,2017-10-16,2017-10-22
37,873.6773106094539,1719,2.0,9.969696543053137,2017-10-17,2017-10-23
38,125.6736827223506,1647,3.0,3.781854350153655,2017-10-18,2017-10-24
39,686.3121707407545,1489,2.0,8.871945387491863,2017-10-19,2017-10-25
40,489.2732779247298,1333,2.0,7.632720996052961,2017-10-20,2017-10-26
41,338.650565861164,1154,2.0,7.052299905379054,2017-10-21,2017-10-27
42,254.7338776390557,1023,2.0,6.7779661524261074,2017-10-22,2017-10-28
43,196.21966060360862,982,2.0,6.3854247226512175,2017-10-23,2017-10-29
44,233.91415738056259,974,2.0,6.296453915250055,2017-10-24,2017-10-30
45,332.7018158116581,955,2.0,7.105694150645898,2017-10-25,2017-10-31
46,342.4903673878104,978,2.0,6.661498785959466,2017-10-26,2017-11-01
47,343.227644754195,995,2.0,6.482606449485896,2017-10-27,2017-11-02
48,339.3726680636601,1004,2.0,6.193854751230127,2017-10-28,2017-11-03
49,407.7980650841973,1084,2.0,6.952500777827237,2017-10-29,2017-11-04
50,394.2617214120553,1050,2.0,6.754788546700336,2017-10-30,2017-11-05
51,360.73591377789995,963,2.0,6.698031007290367,2017-10-31,2017-11-06
52,320.5287281793784,823,2.0,7.471872901520533,2017-11-01,2017-11-07
53,308.5203309591832,760,2.0,8.496982203498044,2017-11-02,2017-11-08
54,280.52762165420233,827,2.0,8.93462464683742,2017-11-03,2017-11-09
55,406.3870619689385,929,2.0,10.558244539028003,2017-11-04,2017-11-10
56,489.1144467776613,910,2.0,11.483680905641359,2017-11-05,2017-11-11
57,513.4595547656766,961,2.0,11.554264274210675,2017-11-06,2017-11-12
58,529.0677691305327,989,2.0,11.698755857942134,2017-11-07,2017-11-13
59,543.2913564065022,972,2.0,12.482220260443702,2017-11-08,2017-11-14
60,549.0379278701784,963,2.0,11.788157618948912,2017-11-09,2017-11-15
61,473.3069976250456,901,2.0,10.1063629196877,2017-11-10,2017-11-16
62,364.3053044320115,804,2.0,8.121722137252306,2017-11-11,2017-11-17
63,363.2508190637774,777,2.0,8.873357672347707,2017-11-12,2017-11-18
64,350.12176568067105,763,2.0,8.304681141815038,2017-11-13,2017-11-19
65,341.26062291304794,792,2.0,8.400618689132907,2017-11-14,2017-11-20
66,307.7322024501075,833,2.0,7.706419526053767,2017-11-15,2017-11-21
67,406.15755694077893,880,2.0,8.58067804736287,2017-11-16,2017-11-22
68,70.0814569212554,998,3.0,3.4520637244660053,2017-11-17,2017-11-23
