,score,#nodes,xmin,alpha,date
0,352.48570614284915,994,2.0,12.17069435435016,2017-05-17
1,292.3322738225104,915,2.0,8.889134188890228,2017-05-18
2,135.04412733085033,478,2.0,6.7820908269582,2017-05-19
3,962.7664754187996,467,1.0,12.657813455101612,2017-05-20
4,88.08279145996612,310,2.0,6.552929080964145,2017-05-21
5,97.12855181966825,322,2.0,6.452563410886842,2017-05-22
6,661.9809323360826,356,1.0,12.252801387728818,2017-05-23
7,142.08941659008815,594,2.0,5.318663539006105,2017-05-24
8,73.12995448820263,356,2.0,4.578060124941151,2017-05-25
9,87.3772594353878,335,2.0,4.811172759989585,2017-05-26
10,358.1431905963844,215,1.0,9.899071564151017,2017-05-27
11,36.90734151918718,213,2.0,3.6076573931781146,2017-05-28
12,387.8324595502014,242,1.0,9.454188084374039,2017-05-29
13,104.42414101846644,343,2.0,5.400189800855267,2017-05-30
14,84.48816094662567,316,2.0,5.56725451276625,2017-05-31
15,374.2622375837997,230,1.0,9.964327351130022,2017-06-01
16,353.39049658873864,227,1.0,9.167963252921137,2017-06-02
17,43.68522869974951,251,2.0,3.7625612603332863,2017-06-03
18,125.21918398193291,294,2.0,5.63940235632892,2017-06-04
19,47.8479343625607,257,2.0,4.102202591094496,2017-06-05
20,114.10457286417174,307,2.0,5.595447890120214,2017-06-06
21,147.1485522969296,339,2.0,5.2736248142409545,2017-06-07
22,835.5107368116804,449,1.0,10.944011370797158,2017-06-08
23,882.7918249594944,434,1.0,11.433664300449466,2017-06-09
24,107.02852491365597,328,2.0,5.324070282168137,2017-06-10
25,101.35602836808944,425,2.0,4.882512032097746,2017-06-11
26,197.63104913760583,410,2.0,7.609644953641261,2017-06-12
27,86.58231161720728,292,2.0,4.9202502689650105,2017-06-13
28,558.743369363147,325,1.0,11.349784797788608,2017-06-14
29,69.63194420135976,267,2.0,4.604723900957564,2017-06-15
30,68.25481394806631,251,2.0,4.626460960013279,2017-06-16
31,396.87196285220034,246,1.0,8.106632191739646,2017-06-17
32,317.7992764955411,229,1.0,7.289184109384004,2017-06-18
33,363.9693707677151,242,1.0,10.591875006731538,2017-06-19
