,score,#nodes,xmin,alpha,window_start,window_end
0,42.183775126133725,689,3.0,3.5355630193660508,2017-06-30,2017-07-02
1,307.6488693742334,722,2.0,9.759386888719273,2017-07-01,2017-07-03
2,27.306373360607676,641,3.0,3.2466626957441616,2017-07-02,2017-07-04
3,35.3925241683702,840,3.0,2.981519237380665,2017-07-03,2017-07-05
4,573.4540606135008,916,2.0,14.260314207459967,2017-07-04,2017-07-06
5,608.0258699914923,965,2.0,13.820398057629316,2017-07-05,2017-07-07
6,425.8165851652971,768,2.0,13.863812256113464,2017-07-06,2017-07-08
7,273.1020021693344,621,2.0,11.665960703178152,2017-07-07,2017-07-09
8,765.3453685821241,1958,2.0,9.50897456386657,2017-07-08,2017-07-10
9,939.0284178137459,2117,2.0,10.04970343199937,2017-07-09,2017-07-11
10,1704.135208719947,2893,2.0,11.234757713917652,2017-07-10,2017-07-12
11,515.8484661571177,2050,2.0,6.8202023284151005,2017-07-11,2017-07-13
12,455.93686542438735,1888,2.0,6.581903476169396,2017-07-12,2017-07-14
13,188.6314621780477,922,2.0,5.22201333753166,2017-07-13,2017-07-15
14,130.22370023129582,620,2.0,5.653381255846188,2017-07-14,2017-07-16
15,104.89006724629955,547,2.0,5.344326728149789,2017-07-15,2017-07-17
16,105.20913316834503,513,2.0,5.443031210711225,2017-07-16,2017-07-18
17,114.76456025274327,488,2.0,6.2048050384002,2017-07-17,2017-07-19
18,105.36849013421755,497,2.0,5.582758256381843,2017-07-18,2017-07-20
19,79.15791486283482,464,2.0,5.098245406402198,2017-07-19,2017-07-21
20,68.53533650503147,433,2.0,5.3770237405249235,2017-07-20,2017-07-22
21,71.14700267638716,431,2.0,6.021153226016766,2017-07-21,2017-07-23
22,97.73768761257409,472,2.0,6.837474776404292,2017-07-22,2017-07-24
23,85.05840524495329,460,2.0,5.541799852876408,2017-07-23,2017-07-25
24,93.36859891020843,425,2.0,6.3886982407393,2017-07-24,2017-07-26
25,71.90508390999943,455,2.0,5.812620080593241,2017-07-25,2017-07-27
26,69.99086232225358,483,2.0,5.0641520691896815,2017-07-26,2017-07-28
27,74.46346055889238,468,2.0,4.959198787483423,2017-07-27,2017-07-29
28,66.26360481444368,353,2.0,5.048426657651044,2017-07-28,2017-07-30
29,76.5741833856116,343,2.0,5.7106865505256765,2017-07-29,2017-07-31
30,61.48676938287518,324,2.0,5.613779898710016,2017-07-30,2017-08-01
31,62.376386385309274,327,2.0,6.082602509504716,2017-07-31,2017-08-02
32,318.89993702371805,1406,2.0,5.858008752390751,2017-08-01,2017-08-03
33,426.09060582308564,1435,2.0,6.696656176537807,2017-08-02,2017-08-04
34,525.5838509489339,1518,2.0,7.593264325788567,2017-08-03,2017-08-05
35,97.71026066161305,510,2.0,6.03090529427157,2017-08-04,2017-08-06
36,95.9401047647031,521,2.0,6.83644425213134,2017-08-05,2017-08-07
37,89.85002533297693,492,2.0,5.847308926297963,2017-08-06,2017-08-08
38,97.43466735860595,451,2.0,6.079281024440804,2017-08-07,2017-08-09
39,115.42676552108037,434,2.0,6.761391485075606,2017-08-08,2017-08-10
40,414.4075104815388,1760,2.0,7.43718938307434,2017-08-09,2017-08-11
41,596.239559982134,2141,2.0,8.149586940996809,2017-08-10,2017-08-12
42,623.1596408220522,2193,2.0,8.172727526912357,2017-08-11,2017-08-13
43,309.9061746453534,986,2.0,8.454253621273985,2017-08-12,2017-08-14
