,score,#nodes,xmin,alpha,date
0,352.48570614284915,994,2.0,12.17069435435016,2017-05-17
1,137.15487159261704,1780,3.0,5.306434810195987,2017-05-18
2,176.23638149140817,2144,3.0,5.202703830248129,2017-05-19
3,209.93427097984264,2507,3.0,4.538917420657871,2017-05-20
4,238.61448223090005,2720,3.0,4.728491568383106,2017-05-21
5,272.52426286503874,2912,3.0,4.929621019666303,2017-05-22
6,288.26403687282976,3142,3.0,4.597534045080358,2017-05-23
7,346.82168342631843,3529,3.0,4.759207323761782,2017-05-24
8,379.41590758199834,3738,3.0,4.852865956093916,2017-05-25
9,410.62239483829853,3957,3.0,4.86715619009559,2017-05-26
10,427.9780632837241,4080,3.0,4.8901507299701255,2017-05-27
11,456.56494630544944,4189,3.0,5.0129371180099085,2017-05-28
12,485.7779325397341,4335,3.0,5.090801854404621,2017-05-29
13,544.6765092202659,4483,3.0,5.310021338085321,2017-05-30
14,577.1543654885278,4662,3.0,5.205033772231385,2017-05-31
15,598.9110582303571,4778,3.0,5.235048585778428,2017-06-01
16,613.6627077460695,4899,3.0,5.177725882324422,2017-06-02
17,647.7163064482822,5043,3.0,5.21740733185289,2017-06-03
18,673.7761828147264,5213,3.0,5.053933553476444,2017-06-04
19,710.2535229622227,5354,3.0,5.127733460306621,2017-06-05
20,725.6541951721485,5535,3.0,4.952608477067507,2017-06-06
21,752.7650096036052,5751,3.0,4.729823845748569,2017-06-07
22,775.272426088397,6038,3.0,4.560969292431672,2017-06-08
23,822.5655128245382,6215,3.0,4.572864812067437,2017-06-09
24,857.7993805335334,6408,3.0,4.602222887768375,2017-06-10
25,898.3736364917146,6634,3.0,4.630447472461524,2017-06-11
26,942.537802839011,6875,3.0,4.606057006339318,2017-06-12
27,968.3115815387886,7039,3.0,4.584989354278464,2017-06-13
28,1010.6409758502361,7201,3.0,4.655493888180827,2017-06-14
29,1037.264164694374,7324,3.0,4.655415681383392,2017-06-15
30,1048.2096069461645,7476,3.0,4.5958596552208455,2017-06-16
31,1053.818296947297,7627,3.0,4.498375633934501,2017-06-17
32,1051.7668923004799,7763,3.0,4.403282431733627,2017-06-18
33,1075.6430626323972,7894,3.0,4.4358386600044355,2017-06-19
34,1108.2227232797954,7970,3.0,4.477399778003234,2017-06-20
35,1123.1532167378377,8050,3.0,4.486234095572598,2017-06-21
36,1144.7689884368249,8182,3.0,4.481537955669448,2017-06-22
37,1169.423315421886,8311,3.0,4.506889933607818,2017-06-23
38,1202.963701521933,8425,3.0,4.536345236574418,2017-06-24
39,1210.6405929244265,8547,3.0,4.488528208193112,2017-06-25
40,1231.5431029521756,8671,3.0,4.4761747124461735,2017-06-26
41,1254.893475466578,8757,3.0,4.49411219984679,2017-06-27
42,1276.337704825802,8885,3.0,4.481429381338809,2017-06-28
43,1290.1231569654535,8999,3.0,4.4751766172980645,2017-06-29
44,1307.1006490913574,9084,3.0,4.4811308288201825,2017-06-30
45,1331.2377981148466,9180,3.0,4.478016957452798,2017-07-01
46,1354.0732172041692,9275,3.0,4.486315621327998,2017-07-02
47,1370.2062431078684,9337,3.0,4.504368181144111,2017-07-03
48,1389.406069362923,9411,3.0,4.525903132041442,2017-07-04
49,1410.413802714772,9484,3.0,4.55019435053781,2017-07-05
50,1438.6933487128967,9565,3.0,4.582239895336065,2017-07-06
51,1449.39849862143,9767,3.0,4.50080595095355,2017-07-07
52,1464.299496809485,9927,3.0,4.491200215579812,2017-07-08
53,1481.759557323239,10098,3.0,4.477256409401854,2017-07-09
54,686.6912327898068,10333,4.0,3.614518628158823,2017-07-10
55,722.8186900385884,10763,4.0,3.653405664781998,2017-07-11
56,742.6997040200603,11117,4.0,3.658840393872142,2017-07-12
57,757.0364005239953,11384,4.0,3.6611566172540915,2017-07-13
58,774.5401402605559,11629,4.0,3.6724094580310513,2017-07-14
59,790.2803778732414,11814,4.0,3.6860640827935116,2017-07-15
60,802.1765845650741,11985,4.0,3.6950836583690645,2017-07-16
61,819.0777295827677,12187,4.0,3.7195554617815714,2017-07-17
62,832.626697796714,12444,4.0,3.711630520438072,2017-07-18
63,858.5632918154023,12681,4.0,3.7346632592126054,2017-07-19
64,880.1197025737656,12913,4.0,3.7516907645111304,2017-07-20
65,898.1841348115793,13146,4.0,3.73700635993818,2017-07-21
66,910.6253621268997,13357,4.0,3.7281439107712697,2017-07-22
67,927.9126549983415,13562,4.0,3.7424663412507555,2017-07-23
68,947.9217154455471,13780,4.0,3.7517667037286437,2017-07-24
69,966.2998182079577,13970,4.0,3.7636183588348397,2017-07-25
70,973.8310329718247,14181,4.0,3.7579013756242814,2017-07-26
71,1001.4141721732884,14395,4.0,3.7971966587950647,2017-07-27
72,1026.5762484344114,14604,4.0,3.825137326113578,2017-07-28
73,1036.4998278978035,14790,4.0,3.82806857230129,2017-07-29
74,1053.604937511612,14961,4.0,3.8428357390500256,2017-07-30
75,1064.725034628761,15139,4.0,3.8453510596970024,2017-07-31
76,1072.6380099398891,15192,4.0,3.8538618605321293,2017-08-01
77,1087.847940205749,15324,4.0,3.869836843133099,2017-08-02
78,1105.3338320281428,15587,4.0,3.8649898225698127,2017-08-03
79,1127.729479976457,15839,4.0,3.8856245578231974,2017-08-04
80,1149.3781071288968,16125,4.0,3.877279534156739,2017-08-05
81,1169.0274300759943,16356,4.0,3.8971935497429855,2017-08-06
82,1190.0274416162076,16651,4.0,3.8917543831327257,2017-08-07
83,1222.9987979213831,16946,4.0,3.912045666824745,2017-08-08
84,1259.2093424321677,17221,4.0,3.944453781456074,2017-08-09
