open;high;low;close;volume;marketCap;timestamp
208.3190002441;214.7949981689;206.4290008545;214.0260009766;11237100;428052000;"2018-04-11T00:00:00.000Z"
213.2239990234;237.3979949951;207.8849945068;236.1620025635;17508000;472324000;"2018-04-12T00:00:00.000Z"
236.2429962158;250.6690063477;230.6929931641;233.3910064697;13117900;466782000;"2018-04-13T00:00:00.000Z"
231.779006958;241.4329986572;229.2250061035;237.0780029297;8932110;474156000;"2018-04-14T00:00:00.000Z"
236.9909973145;251.5980072021;235.4779968262;250.6049957275;10510800;501210000;"2018-04-15T00:00:00.000Z"
251.3139953613;263.2059936523;238.5310058594;245.8029937744;17657100;491606000;"2018-04-16T00:00:00.000Z"
245.5310058594;245.9869995117;234.6569976807;235.0899963379;11653400;470180000;"2018-04-17T00:00:00.000Z"
235.2100067139;243.3110046387;234.3529968262;242.5769958496;11042900;485154000;"2018-04-18T00:00:00.000Z"
242.81199646;258.7940063477;242.1860046387;257.7409973145;12911300;515482000;"2018-04-19T00:00:00.000Z"
257.7210083008;270.3779907227;252.716003418;266.4039916992;13192500;532808000;"2018-04-20T00:00:00.000Z"
265.9880065918;295.7470092773;261.8909912109;287.3280029297;30866800;574656000;"2018-04-21T00:00:00.000Z"
285.7550048828;301.325012207;282.0010070801;282.8649902344;18059100;565730000;"2018-04-22T00:00:00.000Z"
282.1700134277;285.4840087891;278.2309875488;283.1470031738;9531020;566294000;"2018-04-23T00:00:00.000Z"
283.3489990234;300.7349853516;282.8970031738;300.7349853516;12309600;601470000;"2018-04-24T00:00:00.000Z"
299.7510070801;302.9840087891;253.9279937744;256.2130126953;17701600;512426000;"2018-04-25T00:00:00.000Z"
258.6310119629;274.5100097656;249.2279968262;272.825012207;8685890;545650000;"2018-04-26T00:00:00.000Z"
272.9729919434;274.4479980469;261.6380004883;261.6380004883;6141760;523276000;"2018-04-27T00:00:00.000Z"
261.157989502;278.2149963379;260.233001709;277.6520080566;5590550;555304000;"2018-04-28T00:00:00.000Z"
277.8020019531;281.6900024414;267.766998291;276.3890075684;6441370;552778000;"2018-04-29T00:00:00.000Z"
276.4750061035;277.6459960938;268.6650085449;269.1459960938;7540140;538292000;"2018-04-30T00:00:00.000Z"
269.6140136719;275.2560119629;260.216003418;271.608001709;12998500;543216000;"2018-05-01T00:00:00.000Z"
270.9450073242;276.3590087891;267.7130126953;274.6889953613;8781740;549378000;"2018-05-02T00:00:00.000Z"
274.9299926758;281.342010498;270.0690002441;278.4819946289;6898040;556964000;"2018-05-03T00:00:00.000Z"
278.6189880371;278.6189880371;259.6719970703;263.0090026855;4677030;526018000;"2018-05-04T00:00:00.000Z"
263.2810058594;266.9639892578;256.0450134277;259.7409973145;3897150;519482000;"2018-05-05T00:00:00.000Z"
260.1369934082;281.5700073242;251.9579925537;263.0230102539;16097900;526046000;"2018-05-06T00:00:00.000Z"
