,open,high,low,close,volume,marketCap,date
0,0.2088170052,0.2714520097,0.2083300054,0.2609060109,133463,0.0,2017-07-01
1,0.2621630132,0.7247589827,0.2220190018,0.2424850017,377683,0.0,2017-07-02
2,0.2473530024,0.7371280193,0.2209209949,0.2591019869,427326,0.0,2017-07-03
3,0.2573249936,0.657573998,0.2531690001,0.4511879981,393598,0.0,2017-07-04
4,0.4551680088,0.9073110223,0.2805629969,0.302455008,568221,0.0,2017-07-05
5,0.3118250072,0.373190999,0.2692359984,0.3247300088,942716,0.0,2017-07-06
6,0.3216710091,0.3530009985,0.2146759927,0.2176180035,1029640,0.0,2017-07-07
7,0.2178799957,0.2275580019,0.2053219974,0.2243420035,205108,0.0,2017-07-08
8,0.2241529971,0.2368620038,0.1941969991,0.2129320055,172876,0.0,2017-07-09
9,0.213034004,0.4044260085,0.1434099972,0.1717759967,1134980,0.0,2017-07-10
10,0.1592929959,0.168084994,0.1250540018,0.1620399952,764263,0.0,2017-07-11
11,0.2237229943,0.2979010046,0.1511619985,0.2586300075,4081030,10345200.0,2017-07-12
12,0.2565219998,0.2610540092,0.1894949973,0.2020639926,1449570,8082560.0,2017-07-13
13,0.2021919936,0.2058009952,0.1453340054,0.1603980064,605020,6415920.0,2017-07-14
14,0.1602900028,0.1603499949,0.1218329966,0.1243740022,324099,4974960.0,2017-07-15
15,0.1222010031,0.1646289974,0.0959917009,0.111694999,254956,4467800.0,2017-07-16
16,0.1113279983,0.1467880011,0.1044889987,0.1262789965,282653,5051160.0,2017-07-17
17,0.1275379956,0.1494629979,0.1223860011,0.1374969929,385193,5499880.0,2017-07-18
18,0.1386629939,0.1466239989,0.111465998,0.1138930023,446199,4555720.0,2017-07-19
19,0.1151639968,0.1415819973,0.1151639968,0.1295969933,561050,5183880.0,2017-07-20
20,0.1305799931,0.1480119973,0.1223609969,0.1287910044,391093,5151640.0,2017-07-21
21,0.1288000047,0.1347029954,0.1220770031,0.1333580017,871195,5334320.0,2017-07-22
22,0.1337500066,0.1642650068,0.1336070001,0.1536830068,1189210,6147320.0,2017-07-23
23,0.1532319933,0.1794860065,0.1414940059,0.1471650004,1468460,5886600.0,2017-07-24
24,0.1473290026,0.1485680044,0.118900001,0.1356119961,1529520,5424480.0,2017-07-25
25,0.135096997,0.137353003,0.1252849996,0.1341910064,1505400,5367640.0,2017-07-26
26,0.1348229945,0.1464229971,0.1139430031,0.121514,1471990,4860560.0,2017-07-27
27,0.1227359995,0.1308870018,0.1146240011,0.1215810031,1512420,4863240.0,2017-07-28
28,0.1223910004,0.147269994,0.1223910004,0.1417170018,1302360,5668680.0,2017-07-29
29,0.1403470039,0.1437129974,0.1213420033,0.128580004,1219330,5143200.0,2017-07-30
30,0.1290079951,0.1317300051,0.1161129996,0.123976998,1412530,4959080.0,2017-07-31
31,0.124052003,0.1360439956,0.1122099981,0.1339070052,1535080,5356280.0,2017-08-01
32,0.1336050034,0.1349660009,0.1153080016,0.1203830019,1096110,4815320.0,2017-08-02
33,0.1202040017,0.1542949975,0.1183789968,0.1372909993,1382690,5491640.0,2017-08-03
34,0.1379020065,0.1411850005,0.1299359947,0.139853999,1361660,5594160.0,2017-08-04
35,0.1397899985,0.1714249998,0.1292130053,0.1443549991,1475580,5774200.0,2017-08-05
36,0.1393100023,0.1557929963,0.1326120049,0.1511850059,1791400,6047400.0,2017-08-06
37,0.1507540047,0.1610680073,0.1371680051,0.1488189995,2222290,5952760.0,2017-08-07
38,0.1486340016,0.1738560051,0.1440259963,0.1599670053,2083480,6398680.0,2017-08-08
39,0.1595869958,0.1616829932,0.1332129985,0.1527869999,2112490,6111480.0,2017-08-09
40,0.1525200009,0.1797329932,0.125672996,0.174703002,2235250,6988120.0,2017-08-10
41,0.174980998,0.7741400003,0.174980998,0.6600340009,30867700,26401360.0,2017-08-11
42,0.6578099728,0.7234889865,0.3940950036,0.4612829983,10770900,18451320.0,2017-08-12
43,0.4406250119,0.4756149948,0.3410190046,0.4056890011,3986560,16227560.0,2017-08-13
44,0.4065720141,0.4753800035,0.3484779894,0.3537360132,3911320,14149440.0,2017-08-14
45,0.3555060029,0.9408299923,0.3234150112,0.8537390232,21601800,34149560.0,2017-08-15
46,0.8621249795,1.5984499454,0.6500869989,1.4055700302,38982600,56222800.0,2017-08-16
47,1.4447599649,2.5037798882,1.3002200127,2.1393198967,88806096,85572800.0,2017-08-17
48,2.1331000328,2.2185599804,0.9682800174,1.4613699913,42498900,58454800.0,2017-08-18
49,1.4367300272,1.7436000109,1.1302599907,1.6781599522,23263000,89368355.054,2017-08-19
50,1.6623300314,1.700979948,1.3339600563,1.4454799891,14612500,76977266.687,2017-08-20
51,1.4389599562,1.4467099905,1.1661499739,1.1899600029,11011800,63369862.099,2017-08-21
52,1.187680006,1.2135800123,0.9773179889,1.106400013,8421890,58919976.66,2017-08-22
53,1.1029399633,1.1824300289,1.0177099705,1.0662599802,8360730,56782370.9199,2017-08-23
54,1.0636700392,1.3509600163,1.0400400162,1.1915899515,14575800,63456666.6333,2017-08-24
55,1.1915899515,1.2487100363,1.1191799641,1.1589100361,6184660,61716333.2421,2017-08-25
56,1.1727800369,1.2866499424,1.1350300312,1.2769700289,8243890,68003474.0059,2017-08-26
57,1.2807500362,1.6081500053,1.2201600075,1.3824800253,16080300,73622279.8842,2017-08-27
58,1.3828699589,1.4810600281,1.2925900221,1.3808000088,9572380,73532813.541,2017-08-28
59,1.3872799873,1.4081599712,1.1590399742,1.2388900518,13836500,65975570.2258,2017-08-29
60,1.2336800098,1.2798299789,1.0705599785,1.1700600386,8069200,62310112.8416,2017-08-30
61,1.1680799723,1.1767400503,1.018509984,1.0968699455,8413170,58412468.9953,2017-08-31
62,1.0835200548,1.1193699837,1.0124800205,1.0404200554,6220460,55406293.3548,2017-09-01
63,1.0471600294,1.0552200079,0.8547620177,0.8818740249,4069400,46963120.2264,2017-09-02
64,0.882956028,0.996111989,0.842723012,0.8644909859,3571450,46037409.8427,2017-09-03
65,0.8648290038,0.8649690151,0.578445971,0.6866850257,5156370,36568568.9936,2017-09-04
66,0.6891689897,0.8204939961,0.5883859992,0.7831509709,3036330,41705747.7241,2017-09-05
67,0.7785109878,1.1069600582,0.7785109878,1.1069600582,11213900,58949799.5925,2017-09-06
68,1.0851800442,1.0851800442,0.9284139872,0.9716089964,6205590,51741847.7924,2017-09-07
69,0.9819279909,1.0042200089,0.760725975,0.8323180079,4477380,44324076.1159,2017-09-08
70,0.8278809786,0.9156749845,0.793825984,0.8754169941,2532350,46619260.5965,2017-09-09
71,0.875928998,0.875928998,0.7084730268,0.7794470191,2565490,41508495.7387,2017-09-10
72,0.7815470099,0.8118150234,0.7225850224,0.7345640063,2155310,39118306.5222,2017-09-11
73,0.7314199805,0.7641639709,0.6377360225,0.6661949754,2585580,35477399.1287,2017-09-12
74,0.667888999,0.6734499931,0.5539910197,0.629685998,2608050,33533157.0302,2017-09-13
75,0.6302019954,0.717230022,0.4914599955,0.5095180273,3203330,27133757.3072,2017-09-14
76,0.5164790154,0.6556890011,0.4011259973,0.6170870066,2731580,32862212.7097,2017-09-15
77,0.6153789759,0.6478040218,0.5444589853,0.5873280168,1873380,31277433.5975,2017-09-16
78,0.5878430009,0.5975760221,0.5386850238,0.5741909742,1362140,30577838.7456,2017-09-17
79,0.5723189712,0.6802020073,0.5723189712,0.6672379971,2951370,35532942.8168,2017-09-18
80,0.6760630012,0.6760630012,0.5765399933,0.5822979808,1995840,31009567.1055,2017-09-19
81,0.582291007,0.5951219797,0.5494350195,0.5663480163,1942310,30160169.3825,2017-09-20
82,0.5690590143,0.572372973,0.4632799923,0.4730499983,1679510,25191698.6135,2017-09-21
83,0.4729790092,0.5397469997,0.4437769949,0.4915300012,2271000,26175828.3892,2017-09-22
84,0.4983710051,0.6177489758,0.4858340025,0.6046779752,3208330,32201386.6065,2017-09-23
85,0.6094610095,0.6442469954,0.5767409801,0.6202780008,2712160,33032145.5081,2017-09-24
86,0.6155499816,0.6420109868,0.5921350121,0.6145979762,2558520,32729664.0619,2017-09-25
87,0.615447998,0.6449480057,0.5997030139,0.6058940291,2129550,32266143.1978,2017-09-26
88,0.6059870124,1.0914700031,0.5881890059,0.9618710279,18142500,51223262.5242,2017-09-27
89,0.9691060185,1.1347800493,0.8686850071,1.0195599794,16372200,54295419.5929,2017-09-28
90,1.0194000006,1.09047997,0.8843790293,1.0807199478,5947840,57552420.5171,2017-09-29
91,1.072329998,1.4372099638,1.059030056,1.4354300499,14455300,76442067.3096,2017-09-30
92,1.4555599689,1.4700399637,1.2009199858,1.3010699749,12582500,69286890.0013,2017-10-01
93,1.2960799932,1.3551499844,1.1363300085,1.2827500105,8945760,68311280.8297,2017-10-02
94,1.2888400555,1.3373600245,1.1944899559,1.2495900393,6940770,66545385.6262,2017-10-03
95,1.2491099834,1.3906899691,1.2367600203,1.3207499981,8616460,70334924.3078,2017-10-04
96,1.3228000402,1.3262499571,1.153859973,1.1671700478,5003370,65528899.6589,2017-10-05
97,1.174669981,1.3304200172,1.1652200222,1.2400699854,3578170,69621753.9861,2017-10-06
98,1.2388399839,1.2429900169,1.1490000486,1.1979899406,3700430,67259239.4444,2017-10-07
99,1.1969300508,1.1969300508,0.9447469711,0.9851070046,7091540,55307262.6577,2017-10-08
100,0.9909970164,1.0200599432,0.8314549923,0.9144830108,5446200,51342190.7235,2017-10-09
101,0.9023839831,1.055940032,0.8661370277,1.0264699459,4327210,57735188.3998,2017-10-10
102,1.0172499418,1.0446300507,0.9607279897,0.9716410041,3645430,54651257.4084,2017-10-11
103,0.9810090065,0.9937009811,0.8867980242,0.8867980242,3678350,49905230.8307,2017-10-12
104,0.8792110085,0.9529330134,0.7893819809,0.8888729811,5573790,50022003.0313,2017-10-13
105,0.8824890256,0.9071050286,0.8470150232,0.8816319704,2525400,49658591.8579,2017-10-14
106,0.8759949803,0.9383839965,0.8242549896,0.8847979903,2759130,49836919.212,2017-10-15
107,0.8788310289,0.9795920253,0.8144339919,0.8983160257,3577870,50598330.8267,2017-10-16
108,0.8975890279,0.9290850163,0.8375980258,0.879824996,3182320,49556811.2108,2017-10-17
109,0.8784760237,0.8793129921,0.7680510283,0.848033011,3108220,47766102.6699,2017-10-18
110,0.8508870006,0.8674489856,0.8121510148,0.8325849771,2341480,46895982.3396,2017-10-19
111,0.8328970075,0.8534690142,0.7887979746,0.7898659706,2255950,44489802.2264,2017-10-20
