,score,#nodes,xmin,alpha,date
0,0.0,2,,,2017-08-01
1,215.19402389513715,97,1.0,13.248470414096687,2017-08-05
2,2.5608109796080196,55,2.0,6.318875223540089,2017-08-06
3,48.00401088582485,36,1.0,9.5318009861289,2017-08-07
4,2.6054691046750307,9,1.0,13.984255368000671,2017-08-08
5,91.50201072897164,48,1.0,12.72348816044667,2017-08-09
6,59.732236691800075,48,1.0,6.295582968860385,2017-08-10
7,23.142812008888853,37,1.0,8.220971917197016,2017-08-11
8,65.55141114816054,70,1.0,5.619234688412906,2017-08-12
9,46.983992491484656,66,1.0,6.720902152301063,2017-08-13
10,47.04220440391351,56,1.0,6.547972622362344,2017-08-14
11,47.77256588926748,48,1.0,8.428652233506313,2017-08-15
12,7.2471063853753535,55,2.0,3.364275799124768,2017-08-16
13,115.43160412267406,90,1.0,6.836164002312024,2017-08-17
14,95.35120662681476,67,1.0,9.070327182544055,2017-08-18
15,118.28411914143773,90,1.0,7.70455403166301,2017-08-19
16,108.84940915115946,77,1.0,7.479906373311276,2017-08-20
17,100.31492353391968,77,1.0,6.559909424204935,2017-08-21
18,160.6180549235056,97,1.0,8.898789016373737,2017-08-22
19,148.71367125720175,107,1.0,7.3623785890346785,2017-08-23
20,137.38914959898872,92,1.0,9.255860307692561,2017-08-24
21,313.7911412169581,166,1.0,10.149932412644997,2017-08-25
22,103.78883589475544,374,2.0,8.173443056673186,2017-08-26
23,50.47693675226607,233,2.0,5.92648187374276,2017-08-27
24,32.80497353292937,182,2.0,5.326731809603382,2017-08-28
25,253.0398529884218,118,1.0,20.629804594685346,2017-08-29
26,107.5014147715491,95,1.0,11.455488665894997,2017-08-30
27,143.20632463820039,103,1.0,9.198885157239435,2017-08-31
28,442.66993359040055,196,1.0,16.854097708303684,2017-09-01
29,1054.1683889437772,376,1.0,21.866579468288553,2017-09-02
30,1156.8520207075017,371,1.0,32.04389738887363,2017-09-03
31,1152.1171866977033,338,1.0,39.544694601198664,2017-09-04
32,1761.4538831460595,567,1.0,27.37174532474234,2017-09-05
33,976.2102210203509,339,1.0,23.931539639035186,2017-09-06
34,1693.8005156388406,568,1.0,25.82172252381968,2017-09-07
35,2343.7338529970266,725,1.0,33.080972931063975,2017-09-08
36,1267.268659404371,426,1.0,26.812979488826834,2017-09-09
37,2459.65908013843,743,1.0,33.157907388338856,2017-09-10
38,3097.775626243385,909,1.0,35.50607490583378,2017-09-11
39,3966.068899005449,1091,1.0,43.47446168719985,2017-09-12
40,3470.12203107773,982,1.0,39.35922510527389,2017-09-13
41,4075.3324327348314,1077,1.0,49.414617984684135,2017-09-14
42,2703.810558226335,825,1.0,30.567466159261787,2017-09-15
43,1304.401517251827,485,1.0,18.540946231214186,2017-09-16
44,2137.5654919466806,714,1.0,24.530124302636487,2017-09-17
45,111.65119014359973,425,2.0,4.81748582630278,2017-09-18
46,59.330568902421646,275,2.0,4.431965907290726,2017-09-19
47,93.47025538036807,252,2.0,5.431610851474322,2017-09-20
48,83.30414875941351,290,2.0,4.882963795650993,2017-09-21
49,36.623848888228615,227,2.0,3.6675312743552277,2017-09-22
50,39.35880250648829,181,2.0,4.763476702522086,2017-09-23
51,19.3671670503942,114,2.0,5.548472286125618,2017-09-24
52,19.446222344491417,135,2.0,5.166960887810296,2017-09-25
53,24.126205557096142,184,2.0,4.442588175875253,2017-09-26
54,20.571719282334485,202,2.0,3.588329429822198,2017-09-27
55,110.3296862118498,360,2.0,4.877633886018842,2017-09-28
56,176.49199495908516,610,2.0,5.334649426046299,2017-09-29
57,87.14425450167938,481,2.0,3.92204518050385,2017-09-30
58,46.78305745645705,400,2.0,3.6249406875405925,2017-10-01
59,45.30290978648055,435,2.0,3.072372500641602,2017-10-02
60,54.09652723003549,374,2.0,3.7352558589184275,2017-10-03
61,77.6920934760107,280,2.0,6.056096061936791,2017-10-04
62,35.18354723011828,199,2.0,6.5945337292251605,2017-10-05
63,22.15737801872836,307,2.0,4.266451107442302,2017-10-06
64,41.10522596066621,327,2.0,3.850542149624825,2017-10-07
65,26.849251951001104,267,2.0,4.033128916523859,2017-10-08
66,46.43946431907379,298,2.0,3.531240075582547,2017-10-09
67,63.66820653300973,322,2.0,4.480209969664045,2017-10-10
68,53.63493993528673,273,2.0,4.714825312154169,2017-10-11
69,45.8055496525955,256,2.0,4.903329344878036,2017-10-12
70,41.67974264681873,280,2.0,4.2768151245894686,2017-10-13
71,38.75018060386644,262,2.0,3.972202768268948,2017-10-14
72,112.92234330633119,482,2.0,4.34663999575001,2017-10-15
73,42.90033078494892,295,2.0,4.431247811770033,2017-10-16
74,21.232181921363747,191,2.0,4.333813733701781,2017-10-17
75,72.66689502953338,231,2.0,5.219821956183193,2017-10-18
76,57.85405217174407,245,2.0,4.494103744066242,2017-10-19
77,26.84546293380984,180,2.0,3.8121443823140466,2017-10-20
78,34.16851733018333,157,2.0,4.277539787485405,2017-10-21
79,25.489418982610303,141,2.0,4.089810629817915,2017-10-22
80,44.97866963897508,165,2.0,4.822183349337679,2017-10-23
81,51.68403286308953,195,2.0,5.0393981109481985,2017-10-24
82,30.521414408616216,166,2.0,4.110122255844482,2017-10-25
83,41.473348986633006,189,2.0,4.985259750377766,2017-10-26
84,76.20475364106608,260,2.0,4.688831108533143,2017-10-27
85,163.0387488862031,140,1.0,6.904716232146208,2017-10-28
86,129.80877760343498,119,1.0,7.550145112646399,2017-10-29
87,173.3872964169589,147,1.0,8.868870566044091,2017-10-30
88,25.624673021814807,157,2.0,4.2816193831370395,2017-10-31
