,score,#nodes,xmin,alpha,window_start,window_end
0,6878.059288512976,2398,1.0,19.191423405087562,2017-07-25,2017-07-31
1,56.92170532158085,376,2.0,3.7408415313013754,2017-07-26,2017-08-01
2,35.08004188658915,260,2.0,3.899335251688817,2017-07-27,2017-08-02
3,24.77834550858544,233,2.0,3.625013039792037,2017-07-28,2017-08-03
4,271.65297981871987,237,1.0,8.307794399515632,2017-07-29,2017-08-04
5,43.31099648008461,286,2.0,4.040856911926852,2017-07-30,2017-08-05
6,77.16061947999857,390,2.0,4.615861120976389,2017-07-31,2017-08-06
7,121.28238007725469,512,2.0,5.732554133951643,2017-08-01,2017-08-07
8,162.01539197941716,642,2.0,5.805472917640166,2017-08-02,2017-08-08
9,1172.1354656393748,1232,2.0,13.271036998673297,2017-08-03,2017-08-09
10,304.2045441578941,2086,3.0,4.934583798401869,2017-08-04,2017-08-10
11,403.6522889367978,2574,3.0,5.388326631453134,2017-08-05,2017-08-11
12,455.3065627096499,2829,3.0,5.424305117566288,2017-08-06,2017-08-12
13,472.69614373687,2925,3.0,5.5299987549603,2017-08-07,2017-08-13
14,482.3456440636803,2992,3.0,5.290124548358203,2017-08-08,2017-08-14
15,691.5224802159403,5408,3.0,4.909934459467984,2017-08-09,2017-08-15
16,1016.6659633780773,5933,3.0,5.147457315627083,2017-08-10,2017-08-16
17,914.2486566340082,5420,3.0,4.963018178694728,2017-08-11,2017-08-17
18,874.0145922410319,5251,3.0,4.698771792265087,2017-08-12,2017-08-18
19,853.49288616547,5139,3.0,4.660205293649341,2017-08-13,2017-08-19
20,841.1911183608868,5140,3.0,4.538282026147832,2017-08-14,2017-08-20
21,840.1482192141301,5207,3.0,4.5485643262650335,2017-08-15,2017-08-21
22,530.0572268769399,3206,3.0,4.366391617954917,2017-08-16,2017-08-22
23,1738.6847081561536,2222,2.0,10.203352705553726,2017-08-17,2017-08-23
24,1577.676006770561,2011,2.0,10.220044365000252,2017-08-18,2017-08-24
25,1357.4186387524635,1784,2.0,10.963969781969645,2017-08-19,2017-08-25
26,1112.0043697518338,1613,2.0,10.506800343916783,2017-08-20,2017-08-26
27,1019.9635978251672,1516,2.0,10.879406293928843,2017-08-21,2017-08-27
28,1076.4192196421345,1507,2.0,11.38149482073334,2017-08-22,2017-08-28
29,1040.4118919235684,1508,2.0,10.603900187800063,2017-08-23,2017-08-29
30,1049.7648408136952,1541,2.0,10.242361000835642,2017-08-24,2017-08-30
31,995.7865902869515,1498,2.0,9.662670824874983,2017-08-25,2017-08-31
32,1011.4064839110335,1506,2.0,9.349807304483116,2017-08-26,2017-09-01
33,1092.4378320972708,1582,2.0,9.360499029408272,2017-08-27,2017-09-02
34,1119.0235074505172,1590,2.0,9.18462254620696,2017-08-28,2017-09-03
35,1586.2987586950549,2281,2.0,9.855000724589532,2017-08-29,2017-09-04
36,2276.7526258968646,3154,2.0,10.7877237428961,2017-08-30,2017-09-05
